,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Saint-Pierre,RE,78.48,broken clouds,-21.3393,55.4781,Lindsey Hôtel
6,Nanakuli,US,76.1,clear sky,21.3906,-158.1547,Camp Pālehua
10,Jalu,LY,76.87,clear sky,29.0331,21.5482,صاحبة الفخامة
15,Kapaa,US,76.19,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
19,Isangel,VU,79.9,overcast clouds,-19.55,169.2667,Tanna Lodge
21,Carnarvon,AU,77.07,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
24,Rikitea,PF,79.57,few clouds,-23.1203,-134.9692,People ThankYou
26,Bengkulu,ID,74.14,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
28,Bambous Virieux,MU,79.05,light rain,-20.3428,57.7575,Casa Tia Villa
31,Castro,BR,73.36,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
37,Makokou,GA,76.21,broken clouds,0.5738,12.8642,Hôtel
43,Kisangani,CD,77.47,light rain,0.5167,25.2,Grand Ramela Hotel
44,Amapa,BR,79.3,heavy intensity rain,1.0,-52.0,
45,Buala,SB,79.7,light rain,-8.145,159.5921,Maringe Lagoon Lodge
46,Chuy,UY,76.73,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
54,Atuona,PF,79.29,scattered clouds,-9.8,-139.0333,Villa Enata
56,Sai Buri,TH,77.4,heavy intensity rain,6.7013,101.6168,ร้าน​ เวดดิ้ง
58,Lufilufi,WS,76.78,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
64,Fortuna,US,72.93,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
65,Boende,CD,77.74,scattered clouds,-0.2167,20.8667,
70,Makakilo City,US,75.0,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
72,Pamanukan,ID,77.07,overcast clouds,-6.2842,107.8106,Paris Day Hotel Pamanukan
73,Marsabit,KE,74.66,broken clouds,2.3284,37.9899,Chicho Hotel
84,Hilo,US,76.24,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
87,Namibe,AO,71.6,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
90,Hualmay,PE,74.5,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
94,Souillac,MU,79.18,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
103,Avera,US,71.55,broken clouds,33.194,-82.5271,
106,Vaini,TO,75.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
107,Kavieng,PG,79.57,moderate rain,-2.5744,150.7967,Nusa Island Retreat
122,Barcelona,ES,71.83,clear sky,41.3888,2.159,Axel Hotel Barcelona
130,Concordia,AR,75.78,overcast clouds,-31.393,-58.0209,Palmar Hotel Casino
135,Le Port,RE,78.8,scattered clouds,-20.9373,55.2919,KORBEY D'OR OUEST
140,Miguel Hidalgo,MX,76.93,few clouds,19.4225,-99.2028,JW Marriott Hotel Mexico City
143,Ballina,AU,71.56,broken clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
147,Odweyne,SO,76.17,overcast clouds,9.4092,45.064,Eng Hiirey House
150,Herat,AF,70.88,few clouds,34.5,62.0,
152,Sambava,MG,77.83,light rain,-14.2667,50.1667,Melrose
155,Denpasar,ID,78.46,scattered clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
158,Vao,NC,79.63,moderate rain,-22.6667,167.4833,Hotel Kou-Bugny
171,College Station,US,71.47,clear sky,30.628,-96.3344,Homewood Suites by Hilton College Station
178,Eureka,US,73.2,overcast clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
188,Rosetta,EG,72.93,overcast clouds,31.4044,30.4164,Green Valley
189,Bartica,GY,79.12,scattered clouds,6.4,-58.6167,Sloth Island Nature Resort
192,Torbat-E Jam,IR,70.7,overcast clouds,35.244,60.6225,White building
197,Cidreira,BR,71.47,overcast clouds,-30.1811,-50.2056,Hotel Castelo
198,Sri Aman,MY,73.45,overcast clouds,1.2376,111.4621,Seri Simanggang Hotel
