,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Saint-Pierre,RE,-21.3393,55.4781,78.48,82,75,10.36,broken clouds
1,Jamestown,US,42.097,-79.2353,51.53,72,100,8.05,overcast clouds
2,Touros,BR,-5.1989,-35.4608,85.69,63,63,13.11,broken clouds
3,Kannur,IN,11.8675,75.3576,81.59,84,31,3.27,scattered clouds
4,Hithadhoo,MV,-0.6,73.0833,82.72,61,7,2.55,clear sky
5,Batagay-Alyta,RU,67.8006,130.4114,-9.96,96,93,5.82,overcast clouds
6,Nanakuli,US,21.3906,-158.1547,76.1,68,7,19.71,clear sky
7,Saskylakh,RU,71.9167,114.0833,-23.39,100,12,2.13,few clouds
8,Clyde River,CA,70.4692,-68.5914,10.63,85,100,16.11,light snow
9,Butaritari,KI,3.0707,172.7902,80.58,81,100,15.1,light rain
10,Jalu,LY,29.0331,21.5482,76.87,30,0,21.83,clear sky
11,Ponta Delgada,PT,37.7333,-25.6667,63.32,88,75,23.02,broken clouds
12,Punta Arenas,CL,-53.15,-70.9167,46.51,61,0,10.36,clear sky
13,New Norfolk,AU,-42.7826,147.0587,49.71,76,15,2.64,few clouds
14,Dikson,RU,73.5069,80.5464,3.85,97,100,9.82,overcast clouds
15,Kapaa,US,22.0752,-159.319,76.19,78,75,16.11,broken clouds
16,Leningradskiy,RU,69.3833,178.4167,-5.62,98,100,9.6,overcast clouds
17,Ambatondrazaka,MG,-17.8333,48.4167,67.32,98,9,3.44,light rain
18,Tasiilaq,GL,65.6145,-37.6368,23.16,92,100,11.03,light snow
19,Isangel,VU,-19.55,169.2667,79.9,76,100,13.04,overcast clouds
20,Puerto Ayora,EC,-0.7393,-90.3518,84.16,72,62,10.74,light rain
21,Carnarvon,AU,-24.8667,113.6333,77.07,78,40,12.66,scattered clouds
22,East London,ZA,-33.0153,27.9116,56.34,82,0,9.22,clear sky
23,Richards Bay,ZA,-28.783,32.0377,68.04,80,100,8.5,light rain
24,Rikitea,PF,-23.1203,-134.9692,79.57,64,14,15.01,few clouds
25,Ushuaia,AR,-54.8,-68.3,44.22,61,20,9.22,few clouds
26,Bengkulu,ID,-3.8004,102.2655,74.14,87,88,4.25,overcast clouds
27,Nikolskoye,RU,59.7035,30.7861,40.8,99,100,8.55,light rain
28,Bambous Virieux,MU,-20.3428,57.7575,79.05,83,40,9.22,light rain
29,Belaya Gora,RU,68.5333,146.4167,-15.77,100,92,4.47,overcast clouds
30,Komsomolskiy,UZ,40.4272,71.7189,68.72,40,100,4.61,overcast clouds
31,Castro,BR,-24.7911,-50.0119,73.36,71,100,2.15,overcast clouds
32,Kodiak,US,57.79,-152.4072,33.31,86,100,0.0,light rain
33,Barcelos,PT,41.5388,-8.6151,57.34,84,100,8.95,overcast clouds
34,Hermanus,ZA,-34.4187,19.2345,52.81,71,19,10.89,few clouds
35,Pevek,RU,69.7008,170.3133,-1.8,98,100,6.55,light snow
36,Klaksvik,FO,62.2266,-6.589,34.72,76,100,35.52,light snow
37,Makokou,GA,0.5738,12.8642,76.21,82,77,2.89,broken clouds
38,Ust-Kulom,RU,61.6864,53.6902,32.72,98,100,5.53,light snow
39,Lasa,IT,46.6166,10.7002,53.37,98,99,4.32,overcast clouds
40,Norman Wells,CA,65.282,-126.8329,26.64,50,0,10.36,clear sky
41,Busselton,AU,-33.65,115.3333,64.62,56,61,4.7,broken clouds
42,Zhanakorgan,KZ,43.9098,67.2495,64.76,47,18,7.63,few clouds
43,Kisangani,CD,0.5167,25.2,77.47,78,72,1.45,light rain
44,Amapa,BR,1.0,-52.0,79.3,93,87,2.06,heavy intensity rain
45,Buala,SB,-8.145,159.5921,79.7,84,100,9.66,light rain
46,Chuy,UY,-33.6971,-53.4616,76.73,44,84,7.63,broken clouds
47,Port Alfred,ZA,-33.5906,26.891,59.18,77,31,5.01,scattered clouds
48,Cabo San Lucas,MX,22.8909,-109.9124,86.61,56,0,8.05,clear sky
49,Hamilton,US,39.1834,-84.5333,54.75,51,100,16.11,overcast clouds
50,Pimenteiras,BR,-6.2453,-41.4192,86.61,57,100,5.39,overcast clouds
51,Thompson,CA,55.7435,-97.8558,37.56,38,20,3.44,few clouds
52,Mataura,NZ,-46.1927,168.8643,49.87,68,95,8.43,overcast clouds
53,Bredasdorp,ZA,-34.5322,20.0403,57.49,70,45,5.61,scattered clouds
54,Atuona,PF,-9.8,-139.0333,79.29,70,29,15.99,scattered clouds
55,Lagoa,PT,39.05,-27.9833,59.95,87,100,21.5,overcast clouds
56,Sai Buri,TH,6.7013,101.6168,77.4,85,100,6.53,heavy intensity rain
57,Albany,US,42.6001,-73.9662,48.94,91,100,5.99,light rain
58,Lufilufi,WS,-13.8745,-171.5986,76.78,79,81,18.95,light rain
59,Barrow,US,71.2906,-156.7887,-2.18,78,0,6.91,clear sky
60,Timbiqui,CO,2.7717,-77.6654,82.67,77,87,5.12,light rain
61,Mount Gambier,AU,-37.8333,140.7667,53.51,94,0,6.91,clear sky
62,Margate,GB,51.3813,1.3862,51.31,52,44,13.0,scattered clouds
63,Albanel,CA,48.8832,-72.4487,41.14,52,98,13.8,overcast clouds
64,Fortuna,US,40.5982,-124.1573,72.93,58,0,1.99,clear sky
65,Boende,CD,-0.2167,20.8667,77.74,69,46,4.43,scattered clouds
66,Knyaginino,RU,55.8228,45.0349,34.3,99,100,13.65,overcast clouds
67,Fundacion,CO,10.5207,-74.185,91.96,62,100,3.04,overcast clouds
68,Porto Novo,BJ,6.4965,2.6036,84.02,74,32,10.38,scattered clouds
69,Baykit,RU,61.67,96.37,23.92,96,100,5.32,overcast clouds
70,Makakilo City,US,21.3469,-158.0858,75.0,62,40,17.27,scattered clouds
71,Mandal,IN,25.45,74.5667,86.86,10,2,7.14,clear sky
72,Pamanukan,ID,-6.2842,107.8106,77.07,87,98,4.16,overcast clouds
73,Marsabit,KE,2.3284,37.9899,74.66,42,81,11.95,broken clouds
74,Qaanaaq,GL,77.484,-69.3632,-1.17,83,35,5.03,scattered clouds
75,Hobart,AU,-42.8794,147.3294,50.05,88,12,8.05,few clouds
76,Boden,SE,65.8252,21.6886,28.4,96,100,5.77,light snow
77,Mar Del Plata,AR,-38.0023,-57.5575,64.42,85,75,11.5,broken clouds
78,Orlik,RU,52.5178,99.825,23.76,90,18,3.49,few clouds
79,Aldan,RU,58.6031,125.3894,5.85,91,100,4.54,overcast clouds
80,Husavik,IS,66.0449,-17.3389,28.0,83,98,7.56,light snow
81,Longyearbyen,SJ,78.2186,15.6401,12.04,62,20,13.8,few clouds
82,Ancud,CL,-41.8697,-73.8203,57.22,89,100,5.12,overcast clouds
83,Esperance,AU,-33.8667,121.9,60.64,64,33,16.71,scattered clouds
84,Hilo,US,19.7297,-155.09,76.24,83,100,9.22,overcast clouds
85,Oktyabrskiy,RU,54.4815,53.471,27.86,92,83,5.06,broken clouds
86,Salalah,OM,17.0151,54.0924,80.69,83,0,4.61,clear sky
87,Namibe,AO,-15.1961,12.1522,71.6,77,3,9.98,clear sky
88,Srednekolymsk,RU,67.45,153.6833,-15.18,100,23,6.38,few clouds
89,Naze,JP,28.3667,129.4833,61.72,67,86,11.12,overcast clouds
90,Hualmay,PE,-11.0964,-77.6139,74.5,72,69,12.19,broken clouds
91,Sao Joao Da Barra,BR,-21.6403,-41.0511,82.49,71,99,12.62,overcast clouds
92,Pangnirtung,CA,66.1451,-65.7125,10.4,79,75,0.0,light snow
93,Bluff,NZ,-46.6,168.3333,55.87,80,83,26.42,broken clouds
94,Souillac,MU,-20.5167,57.5167,79.18,83,40,9.22,light rain
95,Ust-Tsilma,RU,65.441,52.1498,5.7,98,98,3.18,overcast clouds
96,Kita,ML,13.0349,-9.4895,97.57,10,86,2.51,overcast clouds
97,Terrace,CA,54.5163,-128.6035,35.51,100,100,11.5,light snow
98,Khatanga,RU,71.9667,102.5,3.47,92,97,13.24,overcast clouds
99,Blythe,US,33.6103,-114.5964,85.03,5,0,13.56,clear sky
100,Yellowknife,CA,62.456,-114.3525,35.42,61,40,6.91,scattered clouds
101,Iqaluit,CA,63.7506,-68.5145,17.33,67,75,3.44,broken clouds
102,Dwarka,IN,22.2394,68.9678,81.25,72,17,10.54,few clouds
103,Avera,US,33.194,-82.5271,71.55,38,70,17.29,broken clouds
104,Bielsk Podlaski,PL,52.7651,23.1865,52.25,75,78,17.0,broken clouds
105,Kruisfontein,ZA,-34.0033,24.7314,55.89,66,27,10.36,scattered clouds
